instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,count,cnt,type
225,2011-08-13T00:00:00Z,summer,0,8,0,Sat,0,2,0.685833,0.645858,0.729583,0.211454,1504,4150,casual
226,2011-08-14T00:00:00Z,summer,0,8,0,Sun,0,2,0.676667,0.624388,0.8175,0.222633,1338,3820,casual
227,2011-08-15T00:00:00Z,summer,0,8,0,Mon,1,1,0.665833,0.616167,0.712083,0.208954,775,4338,casual
228,2011-08-16T00:00:00Z,summer,0,8,0,Tues,1,1,0.700833,0.645837,0.578333,0.236329,721,4725,casual
229,2011-08-17T00:00:00Z,summer,0,8,0,Wed,1,1,0.723333,0.666671,0.575417,0.143667,668,4694,casual
230,2011-08-18T00:00:00Z,summer,0,8,0,Thu,1,1,0.711667,0.662258,0.654583,0.233208,639,3805,casual
231,2011-08-19T00:00:00Z,summer,0,8,0,Fri,1,2,0.685,0.633221,0.722917,0.139308,797,4153,casual
232,2011-08-20T00:00:00Z,summer,0,8,0,Sat,0,1,0.6975,0.648996,0.674167,0.104467,1914,5191,casual
233,2011-08-21T00:00:00Z,summer,0,8,0,Sun,0,1,0.710833,0.675525,0.77,0.248754,1249,3873,casual
234,2011-08-22T00:00:00Z,summer,0,8,0,Mon,1,1,0.691667,0.638254,0.47,0.27675,833,4758,casual
235,2011-08-23T00:00:00Z,summer,0,8,0,Tues,1,1,0.640833,0.606067,0.455417,0.146763,1281,5895,casual
236,2011-08-24T00:00:00Z,summer,0,8,0,Wed,1,1,0.673333,0.630692,0.605,0.253108,949,5130,casual
237,2011-08-25T00:00:00Z,summer,0,8,0,Thu,1,2,0.684167,0.645854,0.771667,0.210833,435,3542,casual
238,2011-08-26T00:00:00Z,summer,0,8,0,Fri,1,1,0.7,0.659733,0.76125,0.0839625,768,4661,casual
239,2011-08-27T00:00:00Z,summer,0,8,0,Sat,0,2,0.68,0.635556,0.85,0.375617,226,1115,casual
240,2011-08-28T00:00:00Z,summer,0,8,0,Sun,0,1,0.707059,0.647959,0.561765,0.304659,1415,4334,casual
241,2011-08-29T00:00:00Z,summer,0,8,0,Mon,1,1,0.636667,0.607958,0.554583,0.159825,729,4634,casual
242,2011-08-30T00:00:00Z,summer,0,8,0,Tues,1,1,0.639167,0.594704,0.548333,0.125008,775,5204,casual
243,2011-08-31T00:00:00Z,summer,0,8,0,Wed,1,1,0.656667,0.611121,0.597917,0.0833333,688,5058,casual
244,2011-09-01T00:00:00Z,summer,0,9,0,Thu,1,1,0.655,0.614921,0.639167,0.141796,783,5115,casual
245,2011-09-02T00:00:00Z,summer,0,9,0,Fri,1,2,0.643333,0.604808,0.727083,0.139929,875,4727,casual
246,2011-09-03T00:00:00Z,summer,0,9,0,Sat,0,1,0.669167,0.633213,0.716667,0.185325,1935,4484,casual
247,2011-09-04T00:00:00Z,summer,0,9,0,Sun,0,1,0.709167,0.665429,0.742083,0.206467,2521,4940,casual
248,2011-09-05T00:00:00Z,summer,0,9,1,Mon,0,2,0.673333,0.625646,0.790417,0.212696,1236,3351,casual
249,2011-09-06T00:00:00Z,summer,0,9,0,Tues,1,3,0.54,0.5152,0.886957,0.343943,204,2710,casual
250,2011-09-07T00:00:00Z,summer,0,9,0,Wed,1,3,0.599167,0.544229,0.917083,0.0970208,118,1996,casual
251,2011-09-08T00:00:00Z,summer,0,9,0,Thu,1,3,0.633913,0.555361,0.939565,0.192748,153,1842,casual
252,2011-09-09T00:00:00Z,summer,0,9,0,Fri,1,2,0.65,0.578946,0.897917,0.124379,417,3544,casual
253,2011-09-10T00:00:00Z,summer,0,9,0,Sat,0,1,0.66,0.607962,0.75375,0.153608,1750,5345,casual
254,2011-09-11T00:00:00Z,summer,0,9,0,Sun,0,1,0.653333,0.609229,0.71375,0.115054,1633,5046,casual
255,2011-09-12T00:00:00Z,summer,0,9,0,Mon,1,1,0.644348,0.60213,0.692174,0.088913,690,4713,casual
256,2011-09-13T00:00:00Z,summer,0,9,0,Tues,1,1,0.650833,0.603554,0.7125,0.141804,701,4763,casual
257,2011-09-14T00:00:00Z,summer,0,9,0,Wed,1,1,0.673333,0.6269,0.697083,0.1673,647,4785,casual
258,2011-09-15T00:00:00Z,summer,0,9,0,Thu,1,2,0.5775,0.553671,0.709167,0.271146,428,3659,casual
259,2011-09-16T00:00:00Z,summer,0,9,0,Fri,1,2,0.469167,0.461475,0.590417,0.164183,742,4760,casual
260,2011-09-17T00:00:00Z,summer,0,9,0,Sat,0,2,0.491667,0.478512,0.718333,0.189675,1434,4511,casual
261,2011-09-18T00:00:00Z,summer,0,9,0,Sun,0,1,0.5075,0.490537,0.695,0.178483,1353,4274,casual
262,2011-09-19T00:00:00Z,summer,0,9,0,Mon,1,2,0.549167,0.529675,0.69,0.151742,691,4539,casual
263,2011-09-20T00:00:00Z,summer,0,9,0,Tues,1,2,0.561667,0.532217,0.88125,0.134954,438,3641,casual
264,2011-09-21T00:00:00Z,summer,0,9,0,Wed,1,2,0.595,0.550533,0.9,0.0964042,539,4352,casual
265,2011-09-22T00:00:00Z,summer,0,9,0,Thu,1,2,0.628333,0.554963,0.902083,0.128125,555,4795,casual
266,2011-09-23T00:00:00Z,fall,0,9,0,Fri,1,2,0.609167,0.522125,0.9725,0.0783667,258,2395,casual
267,2011-09-24T00:00:00Z,fall,0,9,0,Sat,0,2,0.606667,0.564412,0.8625,0.0783833,1776,5423,casual
268,2011-09-25T00:00:00Z,fall,0,9,0,Sun,0,2,0.634167,0.572637,0.845,0.0503792,1544,5010,casual
269,2011-09-26T00:00:00Z,fall,0,9,0,Mon,1,2,0.649167,0.589042,0.848333,0.1107,684,4630,casual
270,2011-09-27T00:00:00Z,fall,0,9,0,Tues,1,2,0.636667,0.574525,0.885417,0.118171,477,4120,casual
271,2011-09-28T00:00:00Z,fall,0,9,0,Wed,1,2,0.635,0.575158,0.84875,0.148629,480,3907,casual
272,2011-09-29T00:00:00Z,fall,0,9,0,Thu,1,1,0.616667,0.574512,0.699167,0.172883,653,4839,casual
273,2011-09-30T00:00:00Z,fall,0,9,0,Fri,1,1,0.564167,0.544829,0.6475,0.206475,830,5202,casual
274,2011-10-01T00:00:00Z,fall,0,10,0,Sat,0,2,0.41,0.412863,0.75375,0.292296,480,2429,casual
275,2011-10-02T00:00:00Z,fall,0,10,0,Sun,0,2,0.356667,0.345317,0.791667,0.222013,616,2918,casual
276,2011-10-03T00:00:00Z,fall,0,10,0,Mon,1,2,0.384167,0.392046,0.760833,0.0833458,330,3570,casual
277,2011-10-04T00:00:00Z,fall,0,10,0,Tues,1,1,0.484167,0.472858,0.71,0.205854,486,4456,casual
278,2011-10-05T00:00:00Z,fall,0,10,0,Wed,1,1,0.538333,0.527138,0.647917,0.17725,559,4826,casual
279,2011-10-06T00:00:00Z,fall,0,10,0,Thu,1,1,0.494167,0.480425,0.620833,0.134954,639,4765,casual
280,2011-10-07T00:00:00Z,fall,0,10,0,Fri,1,1,0.510833,0.504404,0.684167,0.0223917,949,4985,casual
281,2011-10-08T00:00:00Z,fall,0,10,0,Sat,0,1,0.521667,0.513242,0.70125,0.0454042,2235,5409,casual
282,2011-10-09T00:00:00Z,fall,0,10,0,Sun,0,1,0.540833,0.523983,0.7275,0.06345,2397,5511,casual
283,2011-10-10T00:00:00Z,fall,0,10,1,Mon,0,1,0.570833,0.542925,0.73375,0.0423042,1514,5117,casual
284,2011-10-11T00:00:00Z,fall,0,10,0,Tues,1,2,0.566667,0.546096,0.80875,0.143042,667,4563,casual
285,2011-10-12T00:00:00Z,fall,0,10,0,Wed,1,3,0.543333,0.517717,0.90625,0.24815,217,2416,casual
286,2011-10-13T00:00:00Z,fall,0,10,0,Thu,1,2,0.589167,0.551804,0.896667,0.141787,290,2913,casual
287,2011-10-14T00:00:00Z,fall,0,10,0,Fri,1,2,0.550833,0.529675,0.71625,0.223883,529,3644,casual
288,2011-10-15T00:00:00Z,fall,0,10,0,Sat,0,1,0.506667,0.498725,0.483333,0.258083,1899,5217,casual
289,2011-10-16T00:00:00Z,fall,0,10,0,Sun,0,1,0.511667,0.503154,0.486667,0.281717,1748,5041,casual
290,2011-10-17T00:00:00Z,fall,0,10,0,Mon,1,1,0.534167,0.510725,0.579583,0.175379,713,4570,casual
291,2011-10-18T00:00:00Z,fall,0,10,0,Tues,1,2,0.5325,0.522721,0.701667,0.110087,637,4748,casual
292,2011-10-19T00:00:00Z,fall,0,10,0,Wed,1,3,0.541739,0.513848,0.895217,0.243339,254,2424,casual
293,2011-10-20T00:00:00Z,fall,0,10,0,Thu,1,1,0.475833,0.466525,0.63625,0.422275,471,4195,casual
294,2011-10-21T00:00:00Z,fall,0,10,0,Fri,1,1,0.4275,0.423596,0.574167,0.221396,676,4304,casual
295,2011-10-22T00:00:00Z,fall,0,10,0,Sat,0,1,0.4225,0.425492,0.629167,0.0926667,1499,4308,casual
296,2011-10-23T00:00:00Z,fall,0,10,0,Sun,0,1,0.421667,0.422333,0.74125,0.0995125,1619,4381,casual
297,2011-10-24T00:00:00Z,fall,0,10,0,Mon,1,1,0.463333,0.457067,0.772083,0.118792,699,4187,casual
298,2011-10-25T00:00:00Z,fall,0,10,0,Tues,1,1,0.471667,0.463375,0.622917,0.166658,695,4687,casual
299,2011-10-26T00:00:00Z,fall,0,10,0,Wed,1,2,0.484167,0.472846,0.720417,0.148642,404,3894,casual
300,2011-10-27T00:00:00Z,fall,0,10,0,Thu,1,2,0.47,0.457046,0.812917,0.197763,240,2659,casual
301,2011-10-28T00:00:00Z,fall,0,10,0,Fri,1,2,0.330833,0.318812,0.585833,0.229479,456,3747,casual
302,2011-10-29T00:00:00Z,fall,0,10,0,Sat,0,3,0.254167,0.227913,0.8825,0.351371,57,627,casual
303,2011-10-30T00:00:00Z,fall,0,10,0,Sun,0,1,0.319167,0.321329,0.62375,0.176617,885,3331,casual
304,2011-10-31T00:00:00Z,fall,0,10,0,Mon,1,1,0.34,0.356063,0.703333,0.10635,362,3669,casual
305,2011-11-01T00:00:00Z,fall,0,11,0,Tues,1,1,0.400833,0.397088,0.68375,0.135571,410,4068,casual
306,2011-11-02T00:00:00Z,fall,0,11,0,Wed,1,1,0.3775,0.390133,0.71875,0.0820917,370,4186,casual
307,2011-11-03T00:00:00Z,fall,0,11,0,Thu,1,1,0.408333,0.405921,0.702083,0.136817,318,3974,casual
308,2011-11-04T00:00:00Z,fall,0,11,0,Fri,1,2,0.403333,0.403392,0.6225,0.271779,470,4046,casual
309,2011-11-05T00:00:00Z,fall,0,11,0,Sat,0,1,0.326667,0.323854,0.519167,0.189062,1156,3926,casual
310,2011-11-06T00:00:00Z,fall,0,11,0,Sun,0,1,0.348333,0.362358,0.734583,0.0920542,952,3649,casual
311,2011-11-07T00:00:00Z,fall,0,11,0,Mon,1,1,0.395,0.400871,0.75875,0.057225,373,4035,casual
312,2011-11-08T00:00:00Z,fall,0,11,0,Tues,1,1,0.408333,0.412246,0.721667,0.0690375,376,4205,casual
313,2011-11-09T00:00:00Z,fall,0,11,0,Wed,1,1,0.4,0.409079,0.758333,0.0621958,305,4109,casual
314,2011-11-10T00:00:00Z,fall,0,11,0,Thu,1,2,0.38,0.373721,0.813333,0.189067,190,2933,casual
315,2011-11-11T00:00:00Z,fall,0,11,1,Fri,0,1,0.324167,0.306817,0.44625,0.314675,440,3368,casual
316,2011-11-12T00:00:00Z,fall,0,11,0,Sat,0,1,0.356667,0.357942,0.552917,0.212062,1275,4067,casual
317,2011-11-13T00:00:00Z,fall,0,11,0,Sun,0,1,0.440833,0.43055,0.458333,0.281721,1004,3717,casual
318,2011-11-14T00:00:00Z,fall,0,11,0,Mon,1,1,0.53,0.524612,0.587083,0.306596,595,4486,casual
319,2011-11-15T00:00:00Z,fall,0,11,0,Tues,1,2,0.53,0.507579,0.68875,0.199633,449,4195,casual
320,2011-11-16T00:00:00Z,fall,0,11,0,Wed,1,3,0.456667,0.451988,0.93,0.136829,145,1817,casual
321,2011-11-17T00:00:00Z,fall,0,11,0,Thu,1,2,0.341667,0.323221,0.575833,0.305362,139,3053,casual
322,2011-11-18T00:00:00Z,fall,0,11,0,Fri,1,1,0.274167,0.272721,0.41,0.168533,245,3392,casual
323,2011-11-19T00:00:00Z,fall,0,11,0,Sat,0,1,0.329167,0.324483,0.502083,0.224496,943,3663,casual
324,2011-11-20T00:00:00Z,fall,0,11,0,Sun,0,2,0.463333,0.457058,0.684583,0.18595,787,3520,casual
325,2011-11-21T00:00:00Z,fall,0,11,0,Mon,1,3,0.4475,0.445062,0.91,0.138054,220,2765,casual
326,2011-11-22T00:00:00Z,fall,0,11,0,Tues,1,3,0.416667,0.421696,0.9625,0.118792,69,1607,casual
327,2011-11-23T00:00:00Z,fall,0,11,0,Wed,1,2,0.440833,0.430537,0.757917,0.335825,112,2566,casual
328,2011-11-24T00:00:00Z,fall,0,11,1,Thu,0,1,0.373333,0.372471,0.549167,0.167304,560,1495,casual
329,2011-11-25T00:00:00Z,fall,0,11,0,Fri,1,1,0.375,0.380671,0.64375,0.0988958,1095,2792,casual
330,2011-11-26T00:00:00Z,fall,0,11,0,Sat,0,1,0.375833,0.385087,0.681667,0.0684208,1249,3068,casual
331,2011-11-27T00:00:00Z,fall,0,11,0,Sun,0,1,0.459167,0.4558,0.698333,0.208954,810,3071,casual
332,2011-11-28T00:00:00Z,fall,0,11,0,Mon,1,1,0.503478,0.490122,0.743043,0.142122,253,3867,casual
333,2011-11-29T00:00:00Z,fall,0,11,0,Tues,1,2,0.458333,0.451375,0.830833,0.258092,96,2914,casual
334,2011-11-30T00:00:00Z,fall,0,11,0,Wed,1,1,0.325,0.311221,0.613333,0.271158,188,3613,casual
335,2011-12-01T00:00:00Z,fall,0,12,0,Thu,1,1,0.3125,0.305554,0.524583,0.220158,182,3727,casual
336,2011-12-02T00:00:00Z,fall,0,12,0,Fri,1,1,0.314167,0.331433,0.625833,0.100754,268,3940,casual
337,2011-12-03T00:00:00Z,fall,0,12,0,Sat,0,1,0.299167,0.310604,0.612917,0.0957833,706,3614,casual
338,2011-12-04T00:00:00Z,fall,0,12,0,Sun,0,1,0.330833,0.3491,0.775833,0.0839583,634,3485,casual
339,2011-12-05T00:00:00Z,fall,0,12,0,Mon,1,2,0.385833,0.393925,0.827083,0.0622083,233,3811,casual
340,2011-12-06T00:00:00Z,fall,0,12,0,Tues,1,3,0.4625,0.4564,0.949583,0.232583,126,2594,casual
341,2011-12-07T00:00:00Z,fall,0,12,0,Wed,1,3,0.41,0.400246,0.970417,0.266175,50,705,casual
342,2011-12-08T00:00:00Z,fall,0,12,0,Thu,1,1,0.265833,0.256938,0.58,0.240058,150,3322,casual
343,2011-12-09T00:00:00Z,fall,0,12,0,Fri,1,1,0.290833,0.317542,0.695833,0.0827167,261,3620,casual
344,2011-12-10T00:00:00Z,fall,0,12,0,Sat,0,1,0.275,0.266412,0.5075,0.233221,502,3190,casual
345,2011-12-11T00:00:00Z,fall,0,12,0,Sun,0,1,0.220833,0.253154,0.49,0.0665417,377,2743,casual
346,2011-12-12T00:00:00Z,fall,0,12,0,Mon,1,1,0.238333,0.270196,0.670833,0.06345,143,3310,casual
347,2011-12-13T00:00:00Z,fall,0,12,0,Tues,1,1,0.2825,0.301138,0.59,0.14055,155,3523,casual
348,2011-12-14T00:00:00Z,fall,0,12,0,Wed,1,2,0.3175,0.338362,0.66375,0.0609583,178,3740,casual
349,2011-12-15T00:00:00Z,fall,0,12,0,Thu,1,2,0.4225,0.412237,0.634167,0.268042,181,3709,casual
350,2011-12-16T00:00:00Z,fall,0,12,0,Fri,1,2,0.375,0.359825,0.500417,0.260575,178,3577,casual
351,2011-12-17T00:00:00Z,fall,0,12,0,Sat,0,2,0.258333,0.249371,0.560833,0.243167,275,2739,casual
352,2011-12-18T00:00:00Z,fall,0,12,0,Sun,0,1,0.238333,0.245579,0.58625,0.169779,220,2431,casual
353,2011-12-19T00:00:00Z,fall,0,12,0,Mon,1,1,0.276667,0.280933,0.6375,0.172896,260,3403,casual
354,2011-12-20T00:00:00Z,fall,0,12,0,Tues,1,2,0.385833,0.396454,0.595417,0.0615708,216,3750,casual
355,2011-12-21T00:00:00Z,winter,0,12,0,Wed,1,2,0.428333,0.428017,0.858333,0.2214,107,2660,casual
356,2011-12-22T00:00:00Z,winter,0,12,0,Thu,1,2,0.423333,0.426121,0.7575,0.047275,227,3068,casual
357,2011-12-23T00:00:00Z,winter,0,12,0,Fri,1,1,0.373333,0.377513,0.68625,0.274246,163,2209,casual
358,2011-12-24T00:00:00Z,winter,0,12,0,Sat,0,1,0.3025,0.299242,0.5425,0.190304,155,1011,casual
359,2011-12-25T00:00:00Z,winter,0,12,0,Sun,0,1,0.274783,0.279961,0.681304,0.155091,303,754,casual
360,2011-12-26T00:00:00Z,winter,0,12,1,Mon,0,1,0.321739,0.315535,0.506957,0.239465,430,1317,casual
361,2011-12-27T00:00:00Z,winter,0,12,0,Tues,1,2,0.325,0.327633,0.7625,0.18845,103,1162,casual
362,2011-12-28T00:00:00Z,winter,0,12,0,Wed,1,1,0.29913,0.279974,0.50391300000000006,0.293961,255,2302,casual
363,2011-12-29T00:00:00Z,winter,0,12,0,Thu,1,1,0.248333,0.263892,0.574167,0.119412,254,2423,casual
364,2011-12-30T00:00:00Z,winter,0,12,0,Fri,1,1,0.311667,0.318812,0.636667,0.134337,491,2999,casual
365,2011-12-31T00:00:00Z,winter,0,12,0,Sat,0,1,0.41,0.414121,0.615833,0.220154,665,2485,casual
366,2012-01-01T00:00:00Z,winter,1,1,0,Sun,0,1,0.37,0.375621,0.6925,0.192167,686,2294,casual
367,2012-01-02T00:00:00Z,winter,1,1,1,Mon,0,1,0.273043,0.252304,0.381304,0.329665,244,1951,casual
368,2012-01-03T00:00:00Z,winter,1,1,0,Tues,1,1,0.15,0.126275,0.44125,0.365671,89,2236,casual
369,2012-01-04T00:00:00Z,winter,1,1,0,Wed,1,2,0.1075,0.119337,0.414583,0.1847,95,2368,casual
370,2012-01-05T00:00:00Z,winter,1,1,0,Thu,1,1,0.265833,0.278412,0.524167,0.129987,140,3272,casual
371,2012-01-06T00:00:00Z,winter,1,1,0,Fri,1,1,0.334167,0.340267,0.542083,0.167908,307,4098,casual
372,2012-01-07T00:00:00Z,winter,1,1,0,Sat,0,1,0.393333,0.390779,0.531667,0.174758,1070,4521,casual
373,2012-01-08T00:00:00Z,winter,1,1,0,Sun,0,1,0.3375,0.340258,0.465,0.191542,599,3425,casual
374,2012-01-09T00:00:00Z,winter,1,1,0,Mon,1,2,0.224167,0.247479,0.701667,0.0989,106,2376,casual
375,2012-01-10T00:00:00Z,winter,1,1,0,Tues,1,1,0.308696,0.318826,0.646522,0.187552,173,3598,casual
376,2012-01-11T00:00:00Z,winter,1,1,0,Wed,1,2,0.274167,0.282821,0.8475,0.131221,92,2177,casual
377,2012-01-12T00:00:00Z,winter,1,1,0,Thu,1,2,0.3825,0.381938,0.802917,0.180967,269,4097,casual
378,2012-01-13T00:00:00Z,winter,1,1,0,Fri,1,1,0.274167,0.249362,0.5075,0.378108,174,3214,casual
379,2012-01-14T00:00:00Z,winter,1,1,0,Sat,0,1,0.18,0.183087,0.4575,0.187183,333,2493,casual
380,2012-01-15T00:00:00Z,winter,1,1,0,Sun,0,1,0.166667,0.161625,0.419167,0.251258,284,2311,casual
381,2012-01-16T00:00:00Z,winter,1,1,1,Mon,0,1,0.19,0.190663,0.5225,0.231358,217,2298,casual
382,2012-01-17T00:00:00Z,winter,1,1,0,Tues,1,2,0.373043,0.364278,0.716087,0.34913,127,2935,casual
383,2012-01-18T00:00:00Z,winter,1,1,0,Wed,1,1,0.303333,0.275254,0.443333,0.415429,109,3376,casual
384,2012-01-19T00:00:00Z,winter,1,1,0,Thu,1,1,0.19,0.190038,0.4975,0.220158,130,3292,casual
385,2012-01-20T00:00:00Z,winter,1,1,0,Fri,1,2,0.2175,0.220958,0.45,0.20275,115,3163,casual
386,2012-01-21T00:00:00Z,winter,1,1,0,Sat,0,2,0.173333,0.174875,0.83125,0.222642,67,1301,casual
387,2012-01-22T00:00:00Z,winter,1,1,0,Sun,0,2,0.1625,0.16225,0.79625,0.199638,196,1977,casual
388,2012-01-23T00:00:00Z,winter,1,1,0,Mon,1,2,0.218333,0.243058,0.91125,0.110708,145,2432,casual
389,2012-01-24T00:00:00Z,winter,1,1,0,Tues,1,1,0.3425,0.349108,0.835833,0.123767,439,4339,casual
390,2012-01-25T00:00:00Z,winter,1,1,0,Wed,1,1,0.294167,0.294821,0.64375,0.161071,467,4270,casual
391,2012-01-26T00:00:00Z,winter,1,1,0,Thu,1,2,0.341667,0.35605,0.769583,0.0733958,244,4075,casual
392,2012-01-27T00:00:00Z,winter,1,1,0,Fri,1,2,0.425,0.415383,0.74125,0.342667,269,3456,casual
393,2012-01-28T00:00:00Z,winter,1,1,0,Sat,0,1,0.315833,0.326379,0.543333,0.210829,775,4023,casual
394,2012-01-29T00:00:00Z,winter,1,1,0,Sun,0,1,0.2825,0.272721,0.31125,0.24005,558,3243,casual
395,2012-01-30T00:00:00Z,winter,1,1,0,Mon,1,1,0.269167,0.262625,0.400833,0.215792,126,3624,casual
396,2012-01-31T00:00:00Z,winter,1,1,0,Tues,1,1,0.39,0.381317,0.416667,0.261817,324,4509,casual
397,2012-02-01T00:00:00Z,winter,1,2,0,Wed,1,1,0.469167,0.466538,0.507917,0.189067,304,4579,casual
398,2012-02-02T00:00:00Z,winter,1,2,0,Thu,1,2,0.399167,0.398971,0.672917,0.187187,190,3761,casual
399,2012-02-03T00:00:00Z,winter,1,2,0,Fri,1,1,0.313333,0.309346,0.526667,0.178496,310,4151,casual
400,2012-02-04T00:00:00Z,winter,1,2,0,Sat,0,2,0.264167,0.272725,0.779583,0.121896,384,2832,casual
401,2012-02-05T00:00:00Z,winter,1,2,0,Sun,0,2,0.265833,0.264521,0.687917,0.175996,318,2947,casual
402,2012-02-06T00:00:00Z,winter,1,2,0,Mon,1,1,0.282609,0.296426,0.622174,0.1538,206,3784,casual
403,2012-02-07T00:00:00Z,winter,1,2,0,Tues,1,1,0.354167,0.361104,0.49625,0.147379,199,4375,casual
404,2012-02-08T00:00:00Z,winter,1,2,0,Wed,1,2,0.256667,0.266421,0.722917,0.133721,109,2802,casual
405,2012-02-09T00:00:00Z,winter,1,2,0,Thu,1,1,0.265,0.261988,0.562083,0.194037,163,3830,casual
406,2012-02-10T00:00:00Z,winter,1,2,0,Fri,1,2,0.280833,0.293558,0.54,0.116929,227,3831,casual
407,2012-02-11T00:00:00Z,winter,1,2,0,Sat,0,3,0.224167,0.210867,0.73125,0.289796,192,2169,casual
408,2012-02-12T00:00:00Z,winter,1,2,0,Sun,0,1,0.1275,0.101658,0.464583,0.409212,73,1529,casual
409,2012-02-13T00:00:00Z,winter,1,2,0,Mon,1,1,0.2225,0.227913,0.41125,0.167283,94,3422,casual
410,2012-02-14T00:00:00Z,winter,1,2,0,Tues,1,2,0.319167,0.333946,0.50875,0.141179,135,3922,casual
411,2012-02-15T00:00:00Z,winter,1,2,0,Wed,1,1,0.348333,0.351629,0.53125,0.1816,141,4169,casual
412,2012-02-16T00:00:00Z,winter,1,2,0,Thu,1,2,0.316667,0.330162,0.752917,0.091425,74,3005,casual
413,2012-02-17T00:00:00Z,winter,1,2,0,Fri,1,1,0.343333,0.351629,0.634583,0.205846,349,4154,casual
414,2012-02-18T00:00:00Z,winter,1,2,0,Sat,0,1,0.346667,0.355425,0.534583,0.190929,1435,4318,casual
415,2012-02-19T00:00:00Z,winter,1,2,0,Sun,0,2,0.28,0.265788,0.515833,0.253112,618,2689,casual
416,2012-02-20T00:00:00Z,winter,1,2,1,Mon,0,1,0.28,0.273391,0.507826,0.229083,502,3129,casual
417,2012-02-21T00:00:00Z,winter,1,2,0,Tues,1,1,0.287826,0.295113,0.594348,0.205717,163,3777,casual
418,2012-02-22T00:00:00Z,winter,1,2,0,Wed,1,1,0.395833,0.392667,0.567917,0.234471,394,4773,casual
419,2012-02-23T00:00:00Z,winter,1,2,0,Thu,1,1,0.454167,0.444446,0.554583,0.190913,516,5062,casual
420,2012-02-24T00:00:00Z,winter,1,2,0,Fri,1,2,0.4075,0.410971,0.7375,0.237567,246,3487,casual
421,2012-02-25T00:00:00Z,winter,1,2,0,Sat,0,1,0.290833,0.255675,0.395833,0.421642,317,2732,casual
422,2012-02-26T00:00:00Z,winter,1,2,0,Sun,0,1,0.279167,0.268308,0.41,0.205229,515,3389,casual
423,2012-02-27T00:00:00Z,winter,1,2,0,Mon,1,1,0.366667,0.357954,0.490833,0.268033,253,4322,casual
424,2012-02-28T00:00:00Z,winter,1,2,0,Tues,1,1,0.359167,0.353525,0.395833,0.193417,229,4363,casual
425,2012-02-29T00:00:00Z,winter,1,2,0,Wed,1,2,0.344348,0.34847,0.804783,0.179117,65,1834,casual
426,2012-03-01T00:00:00Z,winter,1,3,0,Thu,1,1,0.485833,0.475371,0.615417,0.226987,325,4990,casual
427,2012-03-02T00:00:00Z,winter,1,3,0,Fri,1,2,0.353333,0.359842,0.657083,0.144904,246,3194,casual
428,2012-03-03T00:00:00Z,winter,1,3,0,Sat,0,2,0.414167,0.413492,0.62125,0.161079,956,4066,casual
429,2012-03-04T00:00:00Z,winter,1,3,0,Sun,0,1,0.325833,0.303021,0.403333,0.334571,710,3423,casual
430,2012-03-05T00:00:00Z,winter,1,3,0,Mon,1,1,0.243333,0.241171,0.50625,0.228858,203,3333,casual
431,2012-03-06T00:00:00Z,winter,1,3,0,Tues,1,1,0.258333,0.255042,0.456667,0.200875,221,3956,casual
432,2012-03-07T00:00:00Z,winter,1,3,0,Wed,1,1,0.404167,0.3851,0.513333,0.345779,432,4916,casual
433,2012-03-08T00:00:00Z,winter,1,3,0,Thu,1,1,0.5275,0.524604,0.5675,0.441563,486,5382,casual
434,2012-03-09T00:00:00Z,winter,1,3,0,Fri,1,2,0.410833,0.397083,0.407083,0.4148,447,4569,casual
435,2012-03-10T00:00:00Z,winter,1,3,0,Sat,0,1,0.2875,0.277767,0.350417,0.22575,968,4118,casual
436,2012-03-11T00:00:00Z,winter,1,3,0,Sun,0,1,0.361739,0.35967,0.476957,0.222587,1658,4911,casual
437,2012-03-12T00:00:00Z,winter,1,3,0,Mon,1,1,0.466667,0.459592,0.489167,0.207713,838,5298,casual
438,2012-03-13T00:00:00Z,winter,1,3,0,Tues,1,1,0.565,0.542929,0.6175,0.23695,762,5847,casual
439,2012-03-14T00:00:00Z,winter,1,3,0,Wed,1,1,0.5725,0.548617,0.507083,0.115062,997,6312,casual
440,2012-03-15T00:00:00Z,winter,1,3,0,Thu,1,1,0.5575,0.532825,0.579583,0.149883,1005,6192,casual
441,2012-03-16T00:00:00Z,winter,1,3,0,Fri,1,2,0.435833,0.436229,0.842083,0.113192,548,4378,casual
442,2012-03-17T00:00:00Z,winter,1,3,0,Sat,0,2,0.514167,0.505046,0.755833,0.110704,3155,7836,casual
443,2012-03-18T00:00:00Z,winter,1,3,0,Sun,0,2,0.4725,0.464,0.81,0.126883,2207,5892,casual
444,2012-03-19T00:00:00Z,winter,1,3,0,Mon,1,1,0.545,0.532821,0.72875,0.162317,982,6153,casual
445,2012-03-20T00:00:00Z,winter,1,3,0,Tues,1,1,0.560833,0.538533,0.807917,0.121271,1051,6093,casual
446,2012-03-21T00:00:00Z,spring,1,3,0,Wed,1,2,0.531667,0.513258,0.82125,0.0895583,1122,6230,casual
447,2012-03-22T00:00:00Z,spring,1,3,0,Thu,1,1,0.554167,0.531567,0.83125,0.117562,1334,6871,casual
448,2012-03-23T00:00:00Z,spring,1,3,0,Fri,1,2,0.601667,0.570067,0.694167,0.1163,2469,8362,casual
